timestamp,cpu,mem,n_gpu,gpu,gpu_mem,gpu_power,gpu_clk,gpu_mem_clk,gpu,gpu_mem,gpu_power,gpu_clk,gpu_mem_clk
1620185203.462706,0.1,8.0,2,0,0,15054,139,810,0,0,36147,1657,3802
1620185203.632955,0.1,8.0,2,0,0,14811,139,810,0,0,36050,1657,3802
1620185203.803216,0.1,8.0,2,0,0,14811,139,810,0,0,36388,1657,3802
1620185203.973489,3.7,8.0,2,0,0,14914,139,810,0,0,36388,1657,3802
1620185204.143755,1.6,8.0,2,0,0,15344,139,810,0,0,36282,1657,3802
1620185204.314031,2.7,8.0,2,0,0,20169,139,810,0,0,36460,1657,3802
1620185204.484308,0.1,8.0,2,0,0,14811,139,810,0,0,36485,1657,3802
1620185204.654584,0.1,8.0,2,0,0,14623,139,810,0,0,36050,1657,3802
1620185204.824857,0.1,8.0,2,0,0,14819,139,810,0,0,36388,1657,3802
1620185204.995132,0.6,8.0,2,0,0,14908,139,810,0,0,36147,1657,3802
1620185205.165396,0.6,8.0,2,0,0,14723,139,810,0,0,34121,1506,3802
1620185205.335668,0.1,8.0,2,0,0,20262,139,810,0,0,34090,1506,3802
1620185205.505915,0.1,8.0,2,0,0,14819,139,810,0,0,34204,1506,3802
1620185205.676180,0.1,8.0,2,0,0,14623,139,810,0,0,34204,1506,3802
1620185205.846440,0.1,8.0,2,0,0,14817,139,810,0,0,34204,1506,3802
1620185206.016738,0.6,8.0,2,0,0,15160,139,810,0,0,34107,1506,3802
1620185206.187000,0.1,8.0,2,0,0,14626,139,810,0,0,34300,1506,3802
1620185206.357272,0.1,8.0,2,0,0,20169,139,810,0,0,34187,1506,3802
1620185206.527544,0.1,8.0,2,0,0,15160,139,810,0,0,34218,1506,3802
1620185206.697828,0.1,8.0,2,0,0,14626,139,810,0,0,34107,1506,3802
1620185206.868112,0.1,8.0,2,0,0,14819,139,810,0,0,34121,1506,3802
1620185207.038384,0.1,8.0,2,0,0,14919,139,810,0,0,34204,1506,3802
1620185207.208675,0.1,8.0,2,0,0,14626,139,810,0,0,34107,1506,3802
1620185207.378949,0.6,8.0,2,0,0,14819,139,810,0,0,34218,1506,3802
1620185207.549180,3.7,8.0,2,0,0,15248,139,810,0,0,34204,1506,3802
1620185207.719451,0.6,8.0,2,0,0,14723,139,810,0,0,34204,1506,3802
1620185207.889706,0.1,8.0,2,0,0,14819,139,810,0,0,34204,1506,3802
1620185208.059982,0.1,8.0,2,0,0,14819,139,810,0,0,34204,1506,3802
1620185208.230252,0.1,8.0,2,0,0,14626,139,810,0,0,34218,1506,3802
1620185208.400528,0.1,8.0,2,0,0,14819,139,810,0,0,34121,1506,3802
1620185208.570801,3.2,8.0,2,0,0,14869,139,810,0,0,34218,1506,3802
1620185208.741071,0.1,8.0,2,0,0,15063,139,810,0,0,34107,1506,3802
1620185208.911341,0.1,8.0,2,0,0,14723,139,810,0,0,34223,1506,3802
1620185209.081615,0.1,8.0,2,0,0,14529,139,810,0,0,34121,1506,3802
1620185209.251883,0.1,8.0,2,0,0,14626,139,810,0,0,34107,1506,3802
1620185209.422158,0.1,8.0,2,0,0,14722,139,810,0,0,34121,1506,3802
1620185209.592415,0.1,8.0,2,0,0,14529,139,810,0,0,34121,1506,3802
1620185209.762687,0.1,8.0,2,0,0,14819,139,810,0,0,34107,1506,3802
1620185209.932957,0.1,8.0,2,0,0,14916,139,810,0,0,34121,1506,3802
1620185210.103232,0.1,8.0,2,0,0,14626,139,810,0,0,34218,1506,3802
1620185210.273499,0.1,8.0,2,0,0,14819,139,810,0,0,34107,1506,3802
1620185210.443767,0.1,8.0,2,0,0,14819,139,810,0,0,34314,1506,3802
1620185210.614041,0.1,8.0,2,0,0,14723,139,810,0,0,34121,1506,3802
1620185210.784322,0.1,8.0,2,0,0,14819,139,810,0,0,34300,1506,3802
